epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2075.25,1.69696,1.24106,1.16874,0.64306,0.60242,0.60836,0.30775,1.65492,1.07339,1.11964,4.456e-05,4.456e-05,4.456e-05
58,2112.09,1.70157,1.2427,1.16715,0.58782,0.58198,0.57447,0.27634,1.6986,1.1511,1.12872,4.357e-05,4.357e-05,4.357e-05
59,2148.11,1.68832,1.24631,1.16872,0.64072,0.59727,0.59954,0.29783,1.6681,1.10166,1.11927,4.258e-05,4.258e-05,4.258e-05
60,2185.22,1.68642,1.23838,1.16295,0.61975,0.62244,0.60793,0.31303,1.64344,1.08494,1.1182,4.159e-05,4.159e-05,4.159e-05
61,2221.82,1.68277,1.23241,1.15839,0.64202,0.61349,0.61221,0.30809,1.65258,1.07464,1.12024,4.06e-05,4.06e-05,4.06e-05
62,2258.8,1.68175,1.22983,1.15928,0.61226,0.61504,0.60863,0.30421,1.66076,1.09205,1.11968,3.961e-05,3.961e-05,3.961e-05
63,2295.07,1.66666,1.22583,1.15725,0.6471,0.60439,0.61088,0.31074,1.64054,1.07638,1.113,3.862e-05,3.862e-05,3.862e-05
64,2331.68,1.67322,1.21951,1.15649,0.65124,0.59207,0.61159,0.31067,1.66587,1.07195,1.12132,3.763e-05,3.763e-05,3.763e-05
65,2368.09,1.66469,1.20703,1.15486,0.63083,0.6199,0.61316,0.31736,1.6442,1.07072,1.11622,3.664e-05,3.664e-05,3.664e-05
66,2404.36,1.67722,1.22599,1.15898,0.63245,0.61007,0.6081,0.30187,1.64162,1.0835,1.11002,3.565e-05,3.565e-05,3.565e-05
67,2442.99,1.65978,1.2146,1.14731,0.63757,0.60004,0.61055,0.30934,1.63283,1.07923,1.10772,3.466e-05,3.466e-05,3.466e-05
68,2478.84,1.65742,1.21519,1.15329,0.64455,0.62116,0.61355,0.32267,1.62131,1.06434,1.10454,3.367e-05,3.367e-05,3.367e-05
69,2516.06,1.64958,1.20392,1.15141,0.63051,0.60624,0.60588,0.31313,1.63989,1.0837,1.10794,3.268e-05,3.268e-05,3.268e-05
70,2552.92,1.66262,1.20041,1.1489,0.63949,0.62384,0.61837,0.31395,1.643,1.0824,1.10733,3.169e-05,3.169e-05,3.169e-05
71,2589.63,1.65424,1.19943,1.15,0.64251,0.62196,0.62425,0.31506,1.63168,1.05845,1.10496,3.07e-05,3.07e-05,3.07e-05
72,2625.31,1.64314,1.18614,1.14602,0.65872,0.62162,0.62127,0.32696,1.61473,1.04866,1.09875,2.971e-05,2.971e-05,2.971e-05
73,2661.58,1.66012,1.1993,1.1539,0.65403,0.61604,0.63002,0.33324,1.61702,1.04974,1.10206,2.872e-05,2.872e-05,2.872e-05
74,2698.54,1.64796,1.19738,1.15148,0.6697,0.61077,0.62754,0.32402,1.61464,1.0523,1.10114,2.773e-05,2.773e-05,2.773e-05
75,2734.73,1.62626,1.18671,1.13804,0.66108,0.62094,0.62746,0.32901,1.61103,1.04733,1.10078,2.674e-05,2.674e-05,2.674e-05
76,2772.11,1.63545,1.18188,1.14121,0.65668,0.61976,0.63097,0.33706,1.6004,1.03821,1.09257,2.575e-05,2.575e-05,2.575e-05
77,2808.23,1.63322,1.17683,1.14288,0.66228,0.62253,0.63371,0.34055,1.60614,1.03348,1.09615,2.476e-05,2.476e-05,2.476e-05
78,2845.5,1.63403,1.17703,1.13734,0.67956,0.60361,0.63654,0.33768,1.60327,1.03529,1.09421,2.377e-05,2.377e-05,2.377e-05
79,2882.01,1.64424,1.18233,1.14358,0.68217,0.62009,0.64167,0.33739,1.60445,1.03733,1.09488,2.278e-05,2.278e-05,2.278e-05
80,2919.04,1.63973,1.17776,1.13665,0.66912,0.62177,0.64025,0.33722,1.59961,1.03209,1.09529,2.179e-05,2.179e-05,2.179e-05
81,2955.18,1.63644,1.17435,1.1404,0.66034,0.62461,0.63959,0.34643,1.58634,1.03209,1.08699,2.08e-05,2.08e-05,2.08e-05
82,2992.96,1.63044,1.18117,1.13419,0.67535,0.62928,0.64502,0.33199,1.60162,1.02919,1.09007,1.981e-05,1.981e-05,1.981e-05
83,3028.48,1.62003,1.1753,1.13699,0.64847,0.64429,0.63788,0.33405,1.60774,1.02252,1.09085,1.882e-05,1.882e-05,1.882e-05
84,3064.63,1.63127,1.16719,1.13912,0.67843,0.62633,0.64696,0.34218,1.59856,1.02287,1.08981,1.783e-05,1.783e-05,1.783e-05
85,3101.09,1.63208,1.17212,1.14023,0.67921,0.6425,0.65374,0.34311,1.5919,1.01269,1.08746,1.684e-05,1.684e-05,1.684e-05
86,3137.26,1.62618,1.15673,1.13859,0.68748,0.62938,0.65369,0.3512,1.58717,1.01498,1.08361,1.585e-05,1.585e-05,1.585e-05
87,3174.37,1.61165,1.14844,1.13112,0.67449,0.63923,0.64722,0.34263,1.5951,1.02221,1.08534,1.486e-05,1.486e-05,1.486e-05
88,3210.97,1.61375,1.15355,1.12751,0.69453,0.63913,0.655,0.34382,1.59282,1.0084,1.08572,1.387e-05,1.387e-05,1.387e-05
89,3246.53,1.63056,1.16548,1.13937,0.68282,0.63496,0.65968,0.35381,1.58534,1.00783,1.08459,1.288e-05,1.288e-05,1.288e-05
90,3283.38,1.61278,1.16029,1.1342,0.68546,0.62796,0.65218,0.34776,1.58868,1.01141,1.08639,1.189e-05,1.189e-05,1.189e-05
91,3321.6,1.57108,1.16581,1.1306,0.67431,0.60608,0.64056,0.34121,1.60799,1.05285,1.0925,1.09e-05,1.09e-05,1.09e-05
92,3358.63,1.53518,1.07612,1.11894,0.66052,0.62937,0.64608,0.34758,1.59769,1.02588,1.08733,9.91e-06,9.91e-06,9.91e-06
93,3394.13,1.53248,1.0678,1.11016,0.66048,0.6333,0.64266,0.34159,1.62351,1.0275,1.09219,8.92e-06,8.92e-06,8.92e-06
94,3430.58,1.53094,1.06484,1.11012,0.6786,0.62038,0.64132,0.33755,1.65786,1.04149,1.10108,7.93e-06,7.93e-06,7.93e-06
95,3466.94,1.53154,1.05777,1.11453,0.66384,0.62841,0.64469,0.34577,1.62686,1.0317,1.09277,6.94e-06,6.94e-06,6.94e-06
96,3504.5,1.52788,1.0598,1.10928,0.67462,0.62225,0.64138,0.34199,1.63155,1.03215,1.0913,5.95e-06,5.95e-06,5.95e-06
97,3541.37,1.51743,1.04817,1.10658,0.67228,0.61535,0.64135,0.34136,1.63318,1.03102,1.09132,4.96e-06,4.96e-06,4.96e-06
98,3578.55,1.52085,1.04395,1.09982,0.67132,0.62247,0.64241,0.33878,1.64121,1.02922,1.09157,3.97e-06,3.97e-06,3.97e-06
99,3616.26,1.51097,1.04096,1.10205,0.67539,0.6275,0.64573,0.34017,1.63799,1.02755,1.09029,2.98e-06,2.98e-06,2.98e-06
100,3654.02,1.51705,1.0426,1.10153,0.67512,0.62947,0.64607,0.34262,1.63754,1.02748,1.09167,1.99e-06,1.99e-06,1.99e-06
